"","SRR1408848","SRR1408849","SRR1408850","SRR1408851","SRR1408852","SRR1408853","SRR1408854","SRR1408855"
"Rpl18",59,61,26,12,46,71,16,4
"Rpl18a",168,181,91,58,145,267,95,39
"Rpl19",81,55,36,23,59,91,24,9
"Rpl21",30,30,52,14,33,46,22,43
"Rpl22",1081,976,1117,692,702,981,935,718
"Rpl22l1",274,272,364,306,272,359,364,344
"Rpl23",512,479,648,608,365,460,510,408
"Rpl23a",12,16,7,14,9,13,14,14
"Rpl24",288,356,323,322,243,381,202,234
"Rpl26",544,495,479,194,420,658,329,241
"Rpl27",32,38,19,20,39,34,21,11
"Rpl27a",536,547,875,547,488,548,622,648
"Rpl27a-ps4",0,0,0,0,0,2,1,0
"Rpl28",1,0,1,0,1,0,0,0
