"","SRR8809606","SRR8809607","SRR8809608","SRR8809609","SRR8809610","SRR8809611","SRR8809612","SRR8809613","SRR8809614","SRR8809615","SRR8809616","SRR8809617","SRR8809618","SRR8809619","SRR8809620","SRR8809621","SRR8809622","SRR8809623","SRR8809624","SRR8809625","SRR8809626","SRR8809627","SRR8809628","SRR8809629","SRR8809630","SRR8809631","SRR8809632","SRR8809633","SRR8809634","SRR8809635","SRR8809636","SRR8809637","SRR8809638","SRR8809639","SRR8809640","SRR8809641","SRR8809642","SRR8809643"
"Utp20",0,19,93,226,63,865,28,2,0,110,948,1550,381,25,789,214,14,300,58,69,72,700,194,3,45,372,0,0,0,31,520,71,9,5,13,0,10,172
"Utp23",154,49,0,122,0,16,259,0,0,0,750,294,18,4,76,12,11,31,77,311,1,125,155,1450,0,398,9,0,0,0,1,0,0,146,461,0,9,298
"Utp25",0,0,179,1,0,106,170,634,483,0,307,1,201,64,117,84,0,7,739,1,4,37,158,0,445,87,0,0,0,1213,0,34,4,18,19,0,0,0
"Utp3",69,99,100,126,11,686,44,709,54,395,419,365,321,493,649,431,478,67,401,1080,4,337,280,298,26,0,33,15,313,1324,324,0,25,528,485,13,806,402
"Utp4",230,106,216,164,2,193,64,49,976,83,704,14,425,1705,1237,534,10,333,1447,1638,13,66,1142,197,0,167,0,4,16,358,702,920,68,153,3,943,1611,355
"Utp6",12,4,148,13,0,413,1,2,1099,9,1,250,78,186,0,2,0,0,346,945,0,198,634,262,77,52,0,225,210,0,128,0,1,131,606,94,22,394
"Utrn",28,5,19,0,0,126,4,62,54,0,3,0,156,0,14,2,0,40,2,0,0,9,27,708,53,0,15,9,1,0,56,0,180,18,3,0,3,1
"Uts2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uts2b",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
"Uts2r",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uty",170,5,175,164,0,0,0,136,0,0,0,72,358,86,427,156,21,113,494,822,4,167,44,724,266,6,0,15,0,0,1137,0,12,19,166,0,2,822
"Uvrag",99,46,7,20,0,376,0,156,267,147,980,13,357,291,205,296,52,295,878,322,325,243,18,366,4,39,1,1712,107,0,1,1,8,0,3,0,0,1015
"Uvssa",1,0,182,434,10,456,0,299,10,576,0,2299,254,73,95,10,8,0,155,192,5,195,637,11,375,102,1,0,3,0,18,0,2,3,0,0,0,0
"Uxs1",40,59,317,9,100,195,21,675,293,159,591,16,91,541,74,506,1,155,429,139,108,94,247,4,185,879,38,0,61,0,354,2,98,16,23,0,5,193
"Uxt",11,4,74,0,0,8,0,0,165,46,60,0,7,71,9,80,0,6,157,39,0,22,81,38,0,0,0,0,0,0,0,0,0,0,0,124,0,73
