,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Usp30,80.1624218494112,3.72428808939527,1.0438404249363,3.56787110407469,0.000359893457941346,0.000359893457941346
Atp2a3,5.8609739894333,-6.41749012516123,1.79940542978206,-3.56645035017955,0.000361849327200912,0.000361849327200912
Rpl13a,725.524343542414,-1.14070966418607,0.320022016216903,-3.56447246245997,0.000364588724089421,0.000364588724089421
Ank1,8.57544405974408,-4.71236720194909,1.32236883151364,-3.56358006151362,0.00036583104702295,0.00036583104702295
Cdh6,23.5059908828512,-4.00873908011138,1.12565012950062,-3.56126559669993,0.000369071511925198,0.000369071511925198
Gm12227,108.863827070234,4.94269847480861,1.38799234615274,3.56104159256271,0.000369386558665557,0.000369386558665557
Gm35486,18.4134018114106,5.37182341532977,1.50978694308696,3.558000974857,0.000373687927152357,0.000373687927152357
Rpl37a,178.805271418101,-1.26410206745033,0.355583145790721,-3.55501120459271,0.000377962982424702,0.000377962982424702
Pparg,8.23588918008919,6.08723795358139,1.71453365959048,3.55037529857264,0.000384682331707117,0.000384682331707117
Poglut2,45.0932409676282,4.70572431803683,1.32548559321147,3.55018895877661,0.000384954735150182,0.000384954735150182
Xrra1,18.4534545498269,5.14591394012984,1.44992751332619,3.54908358716839,0.00038657434819122,0.00038657434819122
Dtwd2,4.65666812518993,5.05093876016471,1.42440389249537,3.54600179540096,0.000391123542344532,0.000391123542344532
Ccdc173,14.3328534483477,4.81231067471414,1.35725507066584,3.54561996394186,0.000391690653827927,0.000391690653827927
Jpx,26.0261647483422,3.08852125414493,0.871422403157153,3.54422980514989,0.000393761871369309,0.000393761871369309
Noc2l,148.808733546628,2.67065202149435,0.753770919450069,3.54305526066565,0.000395519813339286,0.000395519813339286
LOC118567513,45.7323227554481,4.68075630005857,1.32252472808564,3.53925805745347,0.000401253395051842,0.000401253395051842
Gm9899,16.1734162086889,7.06407609434019,1.99644621488057,3.53832527101801,0.000402673686530806,0.000402673686530806
Gm41804,10.4335445141372,6.43120886038046,1.81892791072638,3.53571398979313,0.000406674726242894,0.000406674726242894
Ccnd3,17.6725466810673,5.25398448233958,1.48654822299985,3.53435186363283,0.000408776502346245,0.000408776502346245
Pemt,4.79506854198166,5.10558679178418,1.44492281504079,3.533466797422,0.000410147603118809,0.000410147603118809
Gm52813,10.8876802043711,5.84051423201321,1.65319185861885,3.53287139757188,0.000411072382643175,0.000411072382643175
Wdcp,92.3958779457906,3.36597388242553,0.952950157172937,3.53216152711614,0.000412177503947572,0.000412177503947572
B4galt2,87.3167046765146,3.36866057429245,0.953732995182205,3.53207930449013,0.000412305686717239,0.000412305686717239
Rpap1,60.6286654908599,4.16726899777891,1.18011679316973,3.53123438451023,0.000413625052138438,0.000413625052138438
Gm34771,8.23084057772501,6.09350638722828,1.72618849722246,3.53003533335618,0.000415504172733237,0.000415504172733237
Serac1,141.43349438636,3.17448395473655,0.899291100018529,3.52998484547567,0.000415583470631883,0.000415583470631883
Gm16351,139.517643988523,3.60975189496972,1.02286927490096,3.52904519037317,0.000417061905244269,0.000417061905244269
Cfap69,26.1454250056028,3.8804419530349,1.10012889202646,3.52726119744664,0.000419882328695784,0.000419882328695784
